Bin 0,Passed
Bin 1,Current Failure
Bin 2,Power Failure
Bin 3,Frequency Failure
Bin 4,1k Phase Noise Failure
Bin 5,800k Phase Noise Failure

PID,Test,Bin,DIE_X,DIE_Y,TEMPERATURE_VE__3.3,FreqOut_VE__3.3,Pout_VE__3.3,Icc_VE__3.3,PhaseNoise_1K_VE__3.3,PhaseNoise_800K_VE__3.3
PID-527,T1A,0,-4,30,0,-495.20855301,-6.04505867004395,9.50504970550537,-68.3903579711914,-131.35237121582
PID-527,T1B,0,-4,30,0,-495.676614022,-6.05349630355835,9.49997425079346,-68.821907043457,-131.418563842773
PID-527,T2A,4,-4,30,0,2606.69775390625,-6.11016124725342,9.48113346099854,-66.375,-131.466506958008
PID-572,T1A,0,15,37,0,-3743.83282808,-5.80269617080688,9.26093196868896,-68.5970993041992,-132.839706420898
PID-572,T1B,0,15,37,0,-3744.7689501,-5.81556076049805,9.25110626220703,-69.4050750732422,-132.920150756836
PID-572,T2A,4,15,37,0,2598.23388671875,-5.86391061782837,9.24576282501221,-66.7263793945313,-132.891799926758
PID-520,T1A,0,-17,30,0,-2307.82163655,-6.13296884536743,9.46456146240234,-75.1540908813477,-139.38166809082
PID-520,T1B,0,-17,30,0,-2308.47692197,-6.14160388946533,9.4592170715332,-75.0844497680664,-139.592742919922
PID-520,T2A,4,-17,30,0,2600.38989257813,-6.36305469512939,9.4618616104126,-66.7072067260742,-140.31413269043
PID-522,T1A,2,-15,30,0,3245.07666015625,-48.2895674133301,9.85011768341064,-75.7361831665039,-103.489967346191
PID-522,T1B,2,-15,30,0,3241.96264648438,-48.2951063537598,9.83959197998047,-72.724967956543,-98.8102569580078
PID-522,T2A,2,-15,30,0,3233.22875976563,-48.3032469177246,9.83559608459473,-81.4635314941406,-104.556327819824
PID-320,T1A,0,5,-1,0,-301.244068731,-5.9042858505249,9.63126373291016,-74.1723480224609,-145.07666015625
PID-320,T1B,0,5,-1,0,-301.244068731,-5.90196460723877,9.63887691497803,-76.5187149047852,-145.968215942383
PID-320,T2A,4,5,-1,0,2603.80102539063,-6.12169736862183,9.6371488571167,-67.9290237426758,-144.503677368164
PID-404,T1A,4,37,9,0,2599.1083984375,-6.0076531791687,9.29926013946533,-66.2148132324219,-139.340103149414
PID-404,T1B,0,37,9,0,-3408.42030531,-6.0083913230896,9.31254100799561,-72.0481719970703,-139.404357910156
PID-404,T2A,0,37,9,0,-3414.6923229,-6.07056230545044,9.28279590606689,-71.9977111816406,-139.449081420898
PID-281,T1A,0,35,-8,0,-873.68268908,-6.05934280395508,9.39211368560791,-75.240234375,-137.363159179688
PID-281,T1B,0,35,-8,0,-873.214628067,-6.05648559570313,9.40285682678223,-76.0215682983398,-137.339614868164
PID-281,T2A,1,35,-8,0,3260.64916992188,-48.292725982666,0.00291570299305022,-66.7000427246094,-90.3463592529297
PID-280,T1A,0,23,-8,0,-647.047546012,-5.90892499923706,9.71758651733398,-75.2951583862305,-142.3935546875
PID-280,T1B,0,23,-8,0,-646.673097201,-5.90609592437744,9.72622394561768,-75.8636016845703,-142.357849121094
PID-280,T2A,1,23,-8,0,3260.64477539063,-48.2887510681152,0.0065326620824635,-72.4513244628906,-97.7614517211914
PID-505,T1A,0,2,29,0,-859.734470859,-5.97900241851807,9.57172012329102,-71.1476440429688,-143.929901123047
PID-505,T1B,0,2,29,0,-859.453634248,-5.98556846618652,9.57118034362793,-71.8151931762695,-144.2763671875
PID-505,T2A,4,2,29,0,2605.75244140625,-6.04503053665161,9.55152988433838,-66.7078552246094,-144.709411621094
PID-274,T1A,0,-31,-8,0,-1291.28672594,-6.18459362030029,9.46326637268066,-76.4143829345703,-142.939315795898
PID-274,T1B,0,-31,-8,0,-1291.19311373,-6.18309110641479,9.46958065032959,-77.9028701782227,-143.743026733398
PID-274,T2A,1,-31,-8,0,3267.86376953125,-48.2905821228027,0.00712649105116725,-71.9852294921875,-97.5037994384766
PID-147,T1A,0,-3,-26,0,-4314.39920437,-5.5187296295166,9.84574604034424,-74.2034072875977,-148.091384887695
PID-147,T1B,0,-3,-26,0,-4313.65030675,-5.50988763809204,9.85022640228271,-73.9290084838867,-147.048263549805
PID-147,T2A,4,-3,-26,0,2596.75366210938,-5.56801694869995,9.8340311050415,-67.6805419921875,-145.638214111328
PID-145,T1A,2,8,-26,0,3247.69287109375,-48.2881330871582,10.3869390487671,-73.6626205444336,-102.650550842285
PID-145,T1B,2,8,-26,0,3247.77270507813,-48.2847074890137,10.3982219696045,-78.3749923706055,-107.366539001465
PID-145,T2A,2,8,-26,0,3236.8330078125,-48.302117767334,10.3669109344482,-71.2364501953125,-96.032470703125
PID-565,T1A,2,17,34,0,3250.4169921875,-48.2867903137207,9.69664001464844,-78.5774765014648,-107.470878601074
PID-565,T1B,2,17,34,0,3246.86938476563,-48.2920736694336,9.68865013122559,-69.7999267578125,-99.4537963867188
PID-565,T2A,2,17,34,0,3245.60888671875,-48.298772277832,9.67753028869629,-69.353157043457,-94.7093276977539
PID-149,T1A,0,-10,-26,0,-723.809552339,-6.02736419677734,9.74787139892578,-71.7565841674805,-133.333435058594
PID-149,T1B,0,-10,-26,0,-723.715940134,-6.02306884765625,9.7492733001709,-69.5579681396484,-133.261947631836
PID-149,T2A,4,-10,-26,0,2604.52563476563,-6.16080993652344,9.75067901611328,-65.6768493652344,-133.074554443359
PID-301,T1A,0,-3,-4,0,-838.765337423,-5.75170749664307,9.50888156890869,-71.935546875,-139.823272705078
PID-301,T1B,0,-3,-4,0,-838.765337423,-5.75164979934692,9.51897716522217,-76.3392868041992,-140.155853271484
PID-301,T2A,4,-3,-4,0,2600.81103515625,-5.94111818313599,9.50310611724854,-66.4083099365234,-140.684661865234
PID-611,T1A,1,-25,41,0,3260.99267578125,-48.2838758850098,96.8432083129883,-79.6658020019531,-105.212913513184
PID-611,T1B,1,-25,41,0,3272.74462890625,-48.2890982055664,96.8390502929688,-67.8820419311523,-94.8591995239258
PID-611,T2A,1,-25,41,0,3268.90307617188,-48.2919821166992,96.8486022949219,-81.1852264404297,-107.346237182617
PID-384,T1A,4,-4,9,0,2606.81982421875,-6.00398820877075,9.4669361114502,-67.4356155395508,-138.495803833008
PID-384,T1B,0,-4,9,0,-451.585266488,-6.00130409240723,9.47584342956543,-70.2794189453125,-138.82991027832
PID-384,T2A,0,-4,9,0,-1165.56553753,-6.40068954467773,9.47357749938965,-70.4235229492188,-139.105712890625
PID-243,T1A,0,1,-12,0,-3477.78694761,-5.67839139938354,9.78754901885986,-70.5567016601563,-134.512741088867
PID-243,T1B,0,1,-12,0,-3477.13166219,-5.67704099655151,9.79159736633301,-69.8775939941406,-134.444000244141
PID-243,T2A,4,1,-12,0,2598.91967773438,-5.73836368560791,9.7772388458252,-65.6347732543945,-134.767288208008
PID-133,T1A,3,-13,-29,0,2534.140625,-16.9821886444092,10.0697822570801,-62.4008293151855,-133.806304931641
PID-133,T1B,3,-13,-29,0,2534.2158203125,-16.8831438446045,10.0768527984619,-62.8674240112305,-133.289810180664
PID-133,T2A,3,-13,-29,0,2531.5478515625,-13.4777292633057,10.0121259689331,-69.130989074707,-138.069198608398
PID-329,T1A,0,2,0,0,-4503.77669071,-5.66290897369385,9.59903526306152,-70.9616622924805,-136.550552368164
PID-329,T1B,0,2,0,0,-4504.43197613,-5.66389030456543,9.6087532043457,-72.0813522338867,-136.736099243164
PID-329,T2A,4,2,0,0,2590.21801757813,-5.79571527481079,9.60826873779297,-66.9952392578125,-136.646347045898
PID-486,T1A,4,33,25,0,2599.1494140625,-5.87402910232544,9.29801845550537,-67.6520462036133,-137.525024414063
PID-486,T1B,4,33,25,0,2599.14916992188,-5.87864965438843,9.29569721221924,-66.9024353027344,-137.813385009766
PID-486,T2A,4,33,25,0,2599.14794921875,-5.93961757659912,9.27513027191162,-67.7536773681641,-137.218154907227
PID-269,T1A,0,-9,-11,0,-706.304070406,-5.95326513290405,9.76638793945313,-71.0081787109375,-133.852951049805
PID-269,T1B,0,-9,-11,0,-706.397682611,-5.95125717163086,9.77524185180664,-71.6527328491211,-133.855499267578
PID-269,T2A,4,-9,-11,0,2604.58715820313,-6.11277812957764,9.76196193695068,-65.3842468261719,-133.677001953125
PID-265,T1A,0,15,-11,0,-353.198841304,-5.72444528579712,9.85378932952881,-72.1520843505859,-135.296890258789
PID-265,T1B,0,15,-11,0,-352.918004697,-5.7212933921814,9.86053657531738,-72.3809356689453,-135.518341064453
PID-265,T2A,4,15,-11,0,2607.07836914063,-5.78485197067261,9.83807945251465,-67.3755874633789,-135.522903442383
PID-204,T1A,0,-3,-17,0,-4292.96200992,-5.47340339660645,9.88963413238525,-71.2131729125977,-132.103225708008
PID-204,T1B,0,-3,-17,0,-4292.49394891,-5.47280591964722,9.88936519622803,-69.9610366821289,-132.044021606445
PID-204,T2A,4,-3,-17,0,2596.7822265625,-5.53399843215942,9.87284564971924,-67.8781204223633,-131.897491455078
PID-353,T1A,0,-7,6,0,-1366.92538583,-5.6560267829895,9.54791259765625,-69.303596496582,-137.284637451172
PID-353,T1B,0,-7,6,0,-1366.55093702,-5.65562671661377,9.56534862518311,-69.4660263061523,-137.447311401367
PID-353,T2A,3,-7,6,0,2555.44946289063,-5.60486883163452,9.53835773468018,-67.7880935668945,-137.538299560547
PID-411,T1A,2,-3,10,0,3228.3984375,-48.2938589477539,17.9476299285889,-76.1387481689453,-101.120063781738
PID-411,T1B,2,-3,10,0,3238.18579101563,-48.300538482666,17.9591255187988,-72.4537734985352,-101.471481323242
PID-411,T2A,2,-3,10,0,3235.55908203125,-48.3088659667969,17.9324607849121,-69.9761962890625,-95.9569549560547
PID-414,T1A,4,-21,10,0,2606.23022460938,-6.14256185531616,9.61350440979004,-67.7406692504883,-137.622207641602
PID-414,T1B,4,-21,10,0,2606.2353515625,-6.14179986953735,9.62565040588379,-67.5217132568359,-137.488555908203
PID-414,T2A,4,-21,10,0,2606.19750976563,-6.21558326721191,9.59968376159668,-65.489631652832,-137.659194946289
PID-354,T1A,4,-1,6,0,2605.66625976563,-5.9575085067749,9.54726505279541,-67.6432418823242,-138.756301879883
PID-354,T1B,4,-1,6,0,2605.6669921875,-5.95861906051636,9.55417442321777,-67.3203811645508,-138.981689453125
PID-354,T2A,4,-1,6,0,2605.67016601563,-6.01394886016846,9.53279781341553,-66.6567306518555,-138.88020324707
PID-471,T1A,0,-16,21,0,-3895.20376007,-5.87814373016357,9.52761554718018,-74.5290222167969,-141.50390625
PID-471,T1B,0,-16,21,0,-3895.57820888,-5.88464349746704,9.52345752716064,-76.5013275146484,-140.932205200195
PID-471,T2A,4,-16,21,0,2596.13623046875,-6.15175813674927,9.52901744842529,-65.770133972168,-141.37873840332
PID-331,T1A,0,33,2,0,-537.427656488,-6.11969989776611,9.56680679321289,-69.0848388671875,-133.608825683594
PID-331,T1B,0,33,2,0,-536.77237107,-6.11571067810059,9.57620048522949,-69.7743988037109,-133.651702880859
PID-331,T2A,4,33,2,0,2606.5966796875,-6.18443960189819,9.54526710510254,-67.096923828125,-133.832534790039
PID-451,T1A,4,-3,18,0,2607.33203125,-6.16934627532959,9.61938858032227,-67.8454971313477,-131.772109985352
PID-451,T1B,0,-3,18,0,-255.842150353,-6.17399448394775,9.62068367004395,-69.8707962036133,-131.665786743164
PID-451,T2A,4,-3,18,0,2605.94750976563,-6.27693885803223,9.61291027069092,-67.5715408325195,-132.12907409668
PID-337,T1A,0,-9,3,0,-840.918418087,-5.91701930999756,9.56076145172119,-72.0600357055664,-138.907348632813
PID-337,T1B,0,-9,3,0,-841.012030291,-5.91601175308228,9.57042407989502,-74.9219512939453,-138.622161865234
PID-337,T2A,4,-9,3,0,2602.03662109375,-6.16791481018066,9.57015419006348,-67.007194519043,-140.333969116211
PID-137,T1A,2,23,-29,0,3250.36157226563,-48.2870115661621,9.91354942321777,-75.2823181152344,-99.9459991455078
PID-137,T1B,2,23,-29,0,3238.99487304688,-48.2888388061523,9.91835403442383,-77.6596069335938,-101.654937744141
PID-137,T2A,2,23,-29,0,3242.90625,-48.3020491027832,9.85724258422852,-70.2346572875977,-95.8703231811523
PID-275,T1A,0,-19,-8,0,-971.226604436,-6.12338108062744,9.71294498443604,-77.4780807495117,-145.253677368164
PID-275,T1B,0,-19,-8,0,-970.758543424,-6.11655181884766,9.71429252624512,-77.7400588989258,-145.636810302734
PID-275,T2A,1,-19,-8,0,3261.61474609375,-48.293630065918,0.00280773360282183,-58.5950241088867,-82.5741500854492
PID-276,T1A,0,-13,-8,0,-491.744901503,-5.78100961685181,9.78123378753662,-75.3664855957031,-144.951553344727
PID-276,T1B,0,-13,-8,0,-491.838513708,-5.78112071990967,9.78765869140625,-75.4143371582031,-145.449371337891
PID-276,T2A,1,-13,-8,0,3260.9853515625,-48.2925924682617,0.0021059347782284,-74.2925415039063,-105.568481445313
PID-277,T1A,0,-1,-8,0,-1387.89451927,-5.71316761016846,9.68206405639648,-74.8948974609375,-140.962326049805
PID-277,T1B,0,-1,-8,0,-1387.42645825,-5.70980686187744,9.68476295471191,-75.4112091064453,-141.305404663086
PID-277,T2A,1,-1,-8,0,3264.58032226563,-48.2917189025879,0.0055069625377655,-72.9114685058594,-100.17163848877
PID-270,T1A,0,-15,-11,0,-1409.79977473,-6.24760812759399,9.84434223175049,-80.9140472412109,-146.59489440918
PID-270,T1B,0,-15,-11,0,-1409.51893812,-6.24155181884766,9.85006427764893,-80.4588088989258,-147.519332885742
PID-270,T2A,1,-15,-11,0,3251.12231445313,-48.2910856628418,0.00437328312546015,-72.4361801147461,-98.0084991455078
PID-271,T1A,0,-21,-11,0,36.6023713114,-5.86897748947144,9.70306396484375,-75.3283081054688,-139.117065429688
PID-271,T1B,0,-21,-11,0,36.9768201227,-5.86700242996216,9.70527839660645,-75.4959030151367,-139.206314086914
PID-271,T2A,1,-21,-11,0,3266.24560546875,-48.2902197265625,0.0062627368606627,-80.1991958618164,-105.51106262207
PID-272,T1A,0,-27,-11,0,-1063.80907304,-6.29164737701416,9.49673557281494,-78.7876892089844,-146.628570556641
PID-272,T1B,0,-27,-11,0,-1063.80907304,-6.29044240951538,9.50245761871338,-79.2210998535156,-145.354293823242
PID-272,T2A,1,-27,-11,0,3263.27807617188,-48.290471496582,0.00253781210631132,-73.5610046386719,-100.041816711426
PID-273,T1A,0,-33,-11,0,-726.992367235,-6.52057308197021,9.4381628036499,-78.421745300293,-146.38591003418
PID-273,T1B,0,-33,-11,0,-726.711530625,-6.5135034942627,9.44204998016357,-79.4092178344727,-147.35009765625
PID-273,T2A,1,-33,-11,0,3260.42578125,-48.2894071960449,0.00313164154067636,-78.4369049072266,-100.727294921875
PID-278,T1A,0,5,-8,0,-181.607673505,-6.01775688171387,9.66230487823486,-75.5400772094727,-147.451568603516
PID-278,T1B,0,5,-8,0,-181.139612488,-6.01811403274536,9.67742252349854,-79.4673080444336,-146.187789916992
PID-278,T2A,1,5,-8,0,3251.0537109375,-48.2895292663574,0.00048639890155755,-73.5979690551758,-100.84969329834
PID-496,T1A,4,-7,27,0,2607.51928710938,-6.29278367996216,9.61776924133301,-67.8518676757813,-138.128890991211
PID-496,T1B,0,-7,27,0,-183.947978574,-6.29683250427246,9.61253261566162,-68.5504837036133,-138.160217285156
PID-496,T2A,0,-7,27,0,-1099.19448572,-6.38583654403687,9.60508155822754,-71.3858642578125,-138.675231933594
PID-251,T1A,0,15,-12,0,1149.18340203,-6.25540012359619,9.80595874786377,-70.158821105957,-138.447219848633
PID-251,T1B,0,15,-12,0,1150.11952406,-6.24952548980713,9.80558013916016,-68.8102951049805,-138.53303527832
PID-251,T2A,4,15,-12,0,2610.99438476563,-6.31851428985596,9.78673934936523,-67.9333877563477,-138.084396362305